date,article_sentiment,reader_sentiment,article_emotion_intensity,reader_emotion_intensity,open,high,low,close,volume,adjusted,r,volatility,intra_day_chg,downside_risk,var1pct,lnvol_chg,amihud_ratio,amihud_zscore,illiq,hl_spread,zero_return_flag,typical_price,vwap_proxy,vwap_cum,rolls_measure,dollar_volume,kyle_lambda_proxy,amihud_impact_proxy,turnover_ratio,shares_outstanding,rolls_measure_rolling,rolls_measure_strict,rolls_measure_window,rolls_measure_min_periods,volume_zero_flag,adjusted_close,daily_return
2024-09-17,0.0,0.0,0.30660000000000004,0.30939999999999995,207.7299957,209.9299927,207.6600037,209.25,7573300.0,206.9069214,0.006664859,0.2442140683681347,0.01088776,0.1896610314090698,0.05291542,-0.316602218,8.83e-10,-0.035319546,6.152916,0.0108718552626707,0,208.94666546666667,208.94666546666667,131.60662147300272,1.2646135947446695,1584713025.0,8.800468752063171e-10,4.205719833721945e-12,0.0027843014705882,2720000000.0,,1.2646135947446695,252,126,0,206.9069214,0.006687118543176496
2024-09-18,0.3333333333333333,0.3333333333333333,0.30238611111111113,0.2576777777777778,209.0099945,211.3399963,206.6999969,207.5299988,8259900.0,205.2061768,0.005184108,0.1186926633283125,0.012883481,0.053774730351708,0.011326674,0.021873859,9.95e-10,0.131750575,6.081529,0.0221988301381495,0,208.52333066666665,208.52333066666665,131.64033012797407,1.2646135947446695,1714177037.08812,9.99264276807225e-10,4.815035332651991e-12,0.0030367279411764,2720000000.0,,1.2646135947446695,252,126,0,205.2061768,-0.008219853586782788
2024-09-19,0.5,0.0,0.38038333333333335,0.34264583333333337,209.7799988,211.9100037,207.3399963,210.4799957,11635200.0,208.1231537,0.014114776,0.2449631202082134,0.021748477,0.1902300701424981,0.05291542,0.293739527,1.22e-09,0.469210306,6.07139,0.0218008701252236,0,209.90999856666667,209.90999856666667,131.68861880025366,1.2646135947446695,2448976845.96864,1.2131098734873486e-09,5.76353999558424e-12,0.0042776470588235,2720000000.0,,1.2646135947446695,252,126,0,208.1231537,0.014214859150380121
2024-09-20,0.0,0.0,0.23146666666666663,0.181875,209.9299927,211.4199982,209.5,211.0899963,20885000.0,208.7263031,0.00289385,0.2448235664058719,0.009120698,0.1901143992163927,0.05291542,0.838941285,1.39e-10,-1.143837379,5.760578,0.0091228651915356,0,210.66999816666663,210.66999816666663,131.77598761235512,1.2646135947446695,4408614572.7255,1.3856116830260946e-10,6.564080284775178e-13,0.0076783088235294,2720000000.0,,1.2646135947446695,252,126,0,208.7263031,0.0028980408439776006
2024-09-23,0.0,0.0,0.314175,0.38995,211.0,211.8000031,209.9900055,211.4400024,7223500.0,209.072403,0.000371754,0.1195650329899267,0.011822037,0.0567164711504629,0.011326674,-0.193656728,2.3e-10,-1.008609497,5.492958,0.00858245839444,0,211.0766703333333,211.0766703333333,131.80631644616102,1.2646135947446695,1527336857.3364,2.293594517892988e-10,1.084749570497067e-12,0.0026556985294117,2720000000.0,,1.2646135947446695,252,126,0,209.072403,0.0016581518230320835
2024-09-24,1.0,1.0,0.34165,0.29025000000000006,211.1499939,212.9499969,210.3699951,211.5899963,7323200.0,209.2207184,0.000709146,0.2425307810986573,0.012206093,0.1901143992163927,0.05291542,-0.493934256,9.69e-11,-1.206235222,5.209722,0.0121893690293747,0,211.63666276666663,211.63666276666663,131.8372572547364,1.2646135947446695,1549515860.90416,9.683553637753988e-11,4.576564963886238e-13,0.0026923529411764,2720000000.0,0.1796183868409515,1.2646135947446695,252,126,0,209.2207184,0.0007093973086442773
2024-09-25,1.0,1.0,0.67625,0.3929,211.6799927,212.2400055,208.6100006,210.1900024,8976500.0,207.8364105,-0.006638481,0.2410414009106118,0.017209116,0.1906005676679816,0.05291542,-0.270665581,7.37e-10,-0.252629804,5.125986,0.0172508249846024,0,210.3466695,210.3466695,131.87453805572406,1.2646135947446695,1886770556.5436,7.395400211663786e-10,3.518435761559223e-12,0.0033001838235294,2720000000.0,0.1341870907978363,1.2646135947446695,252,126,0,207.8364105,-0.006616495300209246
2024-09-26,1.0,1.0,0.6333500000000001,0.3,211.1300049,211.6999969,209.0099945,209.7799988,7807500.0,207.4309845,-0.001952603,0.2388466942536989,0.012781841,0.1906425701698191,0.05291542,-0.352044966,2.5e-10,-0.97837334,4.908059,0.0127879178293268,0,210.16333006666665,210.16333006666665,131.90685934856833,1.2646135947446695,1637857340.6309998,2.5009324367595256e-10,1.1921691539067386e-12,0.0028704044117647,2720000000.0,,1.2646135947446695,252,126,0,207.4309845,-0.0019506976618035576
2024-09-30,-0.5,-0.5,0.30308750000000007,0.28993749999999996,206.3099976,210.9600067,205.2599945,210.8600006,8663800.0,208.4988861,0.001708696,0.2372919856871342,0.027327048,0.1886674206489684,0.05291542,0.106964254,1.97e-10,-1.056509464,4.562207,0.0273894199392934,0,209.02666726666664,209.02666726666664,131.97145796202926,1.2646135947446695,1826848873.19828,1.9722246589256447e-10,9.353242214330358e-13,0.0031852205882352,2720000000.0,,1.2646135947446695,252,126,0,208.4988861,0.0017101565810528907
2024-10-01,0.3333333333333333,0.0,0.2615111111111111,0.2523666666666667,208.8999939,209.0899963,206.1900024,207.0399933,8540100.0,204.7216644,-0.018282377,0.2403140503945209,0.01394429,0.192351828458087,0.05291542,0.050433327,2.12e-09,1.809168958,4.938153,0.0139664511128789,0,207.4399973333333,207.4399973333333,132.00549484753904,1.2646135947446695,1768142246.78133,2.140768492172222e-09,1.0339879064187658e-11,0.0031397426470588,2720000000.0,,1.2646135947446695,252,126,0,204.7216644,-0.01811626800820587
